***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
R 765;Karlstejn kolej A;Beroun kolej A;8:20:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:20:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:21:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:21:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:22:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:22:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:22:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:23:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:23:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:24:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:24:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:25:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:25:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:25:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:26:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:26:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:27:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:27:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:27:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:28:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:28:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:29:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:29:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:00:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:00:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:00:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:01:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:01:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:02:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:02:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:02:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:03:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:03:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:04:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:04:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:05:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:05:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:05:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:06:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:06:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:07:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:07:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:07:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:08:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:08:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:09:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:09:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:10:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:10:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:10:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:11:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:11:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:12:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:12:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:12:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:13:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:13:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:14:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:14:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:15:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:15:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:15:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:16:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:16:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:17:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:17:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:17:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:18:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:18:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:19:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:19:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:20:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:20:25;;;;;;
