***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:58:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:58:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:59:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:59:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:00:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:00:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:00:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:01:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:01:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:02:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:02:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:02:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:03:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:03:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:04:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:04:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:05:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:05:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:05:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:06:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:06:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:07:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:07:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:07:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:08:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:08:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:09:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:09:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:40:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:40:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:40:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:41:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:41:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:42:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:42:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:42:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:43:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:43:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:44:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:44:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:45:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:45:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:45:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:46:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:46:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:47:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:47:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:47:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:48:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:48:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:49:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:49:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:50:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:50:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:50:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:51:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:51:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:52:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:52:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:52:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:53:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:53:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:54:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:54:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:55:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:55:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:55:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:56:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:56:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:57:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:57:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;12:57:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:58:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:58:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;12:59:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:59:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:00:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:00:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:00:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:01:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:01:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:02:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:02:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:02:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:03:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:03:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:04:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:04:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:35:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:35:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:35:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:36:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:36:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:37:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:37:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:37:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:38:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:38:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:39:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:39:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:40:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:40:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:40:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:41:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:41:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:42:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:42:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:42:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:43:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:43:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:44:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:44:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:45:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:45:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:45:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:46:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:46:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:47:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:47:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:47:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:48:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:48:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:49:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:49:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:50:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:50:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:50:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:51:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:51:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:52:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:52:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:52:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:53:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:53:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:54:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:54:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:55:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:55:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:55:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:56:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:56:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:57:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:57:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;13:57:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:58:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:58:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;13:59:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:59:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:30:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:30:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:30:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:31:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:31:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:32:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:32:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:32:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:33:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:33:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:34:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:34:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:35:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:35:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:35:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:36:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:36:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:37:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:37:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:37:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:38:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:38:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:39:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:39:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:40:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:40:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:40:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:41:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:41:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:42:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:42:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:42:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:43:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:43:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:44:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:44:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:45:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:45:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:45:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:46:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:46:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:47:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:47:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:47:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:48:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:48:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:49:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:49:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:50:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:50:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:50:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:51:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:51:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:52:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:52:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;14:52:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:53:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:53:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;14:54:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:54:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:25:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:25:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:25:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:26:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:26:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:27:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:27:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:27:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:28:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:28:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:29:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:29:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:30:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:30:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:30:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:31:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:31:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:32:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:32:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:32:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:33:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:33:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:34:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:34:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:35:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:35:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:35:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:36:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:36:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:37:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:37:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:37:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:38:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:38:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:39:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:39:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:40:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:40:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:40:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:41:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:41:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:42:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:42:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:42:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:43:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:43:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:44:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:44:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:45:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:45:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:45:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:46:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:46:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:47:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:47:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;15:47:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:48:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:48:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;15:49:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:49:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:20:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:20:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:20:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:21:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:21:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:22:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:22:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:22:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:23:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:23:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:24:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:24:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:25:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:25:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:25:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:26:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:26:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:27:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:27:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:27:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:28:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:28:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:29:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:29:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:30:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:30:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:30:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:31:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:31:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:32:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:32:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:32:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:33:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:33:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:34:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:34:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:35:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:35:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:35:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:36:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:36:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:37:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:37:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:37:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:38:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:38:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:39:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:39:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:40:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:40:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:40:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:41:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:41:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:42:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:42:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;16:42:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:43:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:43:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;16:44:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:44:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:15:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:15:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:15:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:16:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:16:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:17:05;;;;;;
