***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;10:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;11:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;11:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;11:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;11:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;11:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;11:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:00:00;;;;;;
