16;Bohemians Praha 1905;1. FK Pøíbram
16;Fastav Zlín;Slezský FC Opava
16;Baník Ostrava;1. FC Slovácko
16;SK Sigma Olomouc;FK Mladá Boleslav
16;AC Sparta Praha;FK Jablonec
17;FK Teplice;FC Slovan Liberec
17;FK Mladá Boleslav;MFD OKD Karviná
17;1. FC Slovácko;AC Sparta Praha
17;Bohemians Praha 1905;FK Dukla Praha
17;1. FK Pøíbram;Baník Ostrava
17;FC Viktoria Plzeò;SK Sigma Olomouc
17;FK Jablonec;Fastav Zlín
17;Slezský FC Opava;SK Slavia Praha
18;FK Dukla Praha;1. FK Pøíbram
18;Baník Ostrava;Bohemians Praha 1905
18;FC Slovan Liberec;Slezský FC Opava
18;AC Sparta Praha;FK Teplice
18;SK Sigma Olomouc;1. FC Slovácko
18;Fastav Zlín;FC Viktoria Plzeò
18;SK Slavia Praha;FK Mladá Boleslav
18;MFD OKD Karviná;FK Jablonec
19;Baník Ostrava;SK Sigma Olomouc
19;Bohemians Praha 1905;FC Slovan Liberec
19;1. FK Pøíbram;AC Sparta Praha
19;FK Jablonec;SK Slavia Praha
19;1. FC Slovácko;FK Dukla Praha
19;FK Teplice;Fastav Zlín
19;FC Viktoria Plzeò;MFD OKD Karviná
19;Slezský FC Opava;FK Mladá Boleslav
20;SK Sigma Olomouc;FK Jablonec
20;FC Slovan Liberec;1. FK Pøíbram
20;AC Sparta Praha;Bohemians Praha 1905
20;MFD OKD Karviná;Slezský FC Opava
20;SK Slavia Praha;FK Teplice
20;FK Mladá Boleslav;FC Viktoria Plzeò
20;Fastav Zlín;1. FC Slovácko
20;FK Dukla Praha;Baník Ostrava
21;FK Dukla Praha;AC Sparta Praha
21;Baník Ostrava;FC Slovan Liberec
21;Bohemians Praha 1905;SK Sigma Olomouc
21;1. FK Pøíbram;Fastav Zlín
21;FC Viktoria Plzeò;SK Slavia Praha
21;1. FC Slovácko;MFD OKD Karviná
21;FK Teplice;FK Mladá Boleslav
21;FK Jablonec;Slezský FC Opava
22;Fastav Zlín;Bohemians Praha 1905
22;SK Sigma Olomouc;1. FK Pøíbram
22;FC Slovan Liberec;FK Dukla Praha
22;AC Sparta Praha;Baník Ostrava
22;FK Mladá Boleslav;FK Jablonec
22;Slezský FC Opava;FC Viktoria Plzeò
22;MFD OKD Karviná;FK Teplice
22;SK Slavia Praha;1. FC Slovácko
23;FC Slovan Liberec;AC Sparta Praha
23;FK Dukla Praha;SK Sigma Olomouc
23;Baník Ostrava;Fastav Zlín
23;1. FK Pøíbram;MFD OKD Karviná
23;Bohemians Praha 1905;SK Slavia Praha
23;1. FC Slovácko;FK Mladá Boleslav
23;FK Teplice;Slezský FC Opava
23;FC Viktoria Plzeò;FK Jablonec
24;SK Slavia Praha;Baník Ostrava
24;MFD OKD Karviná;Bohemians Praha 1905
24;FK Mladá Boleslav;1. FK Pøíbram
24;Fastav Zlín;FK Dukla Praha
